distance_car_petrol,car_petrol_emissions,distance_car_diesel,car_diesel_emissions,distance_motorbike,motorbike_emissions,distance_bus,bus_emissions,distance_train,train_emissions,distance_bike,bike_emissions
88,20.33,112,20.16,4,0.45,51,5.25,49,1.81,32,0
169,39.04,27,4.86,17,1.92,214,22.04,117,4.33,13,0
256,59.14,2,0.36,99,11.19,285,29.36,299,11.06,6,0
153,35.34,10,1.8,177,20.00,260,26.78,217,8.03,31,0
160,36.96,52,9.36,282,31.87,250,25.75,45,1.67,14,0
73,16.86,73,13.14,48,5.42,251,25.85,261,9.66,45,0
166,38.35,189,34.02,31,3.50,160,16.48,261,9.66,16,0
207,47.82,97,17.46,24,2.71,34,3.50,129,4.77,8,0
106,24.49,142,25.56,188,21.24,144,14.83,111,4.11,14,0
114,26.33,43,7.74,193,21.81,38,3.91,35,1.30,34,0
250,57.75,111,19.98,125,14.13,134,13.80,299,11.06,27,0
281,64.91,142,25.56,170,19.21,40,4.12,199,7.36,19,0
273,63.06,107,19.26,167,18.87,119,12.26,45,1.67,35,0
209,48.28,211,37.98,55,6.22,109,11.23,173,6.40,1,0
108,24.95,101,18.18,155,17.52,290,29.87,75,2.78,33,0
165,38.12,219,39.42,141,15.93,132,13.60,231,8.55,44,0
137,31.65,121,21.78,230,25.99,97,9.99,139,5.14,10,0
192,44.35,182,32.76,28,3.16,133,13.70,11,0.41,16,0
65,15.02,56,10.08,130,14.69,280,28.84,67,2.48,40,0
34,7.85,109,19.62,255,28.82,183,18.85,189,6.99,46,0
161,37.19,89,16.02,264,29.83,105,10.82,47,1.74,44,0
85,19.64,65,11.7,269,30.40,231,23.79,125,4.63,34,0
225,51.98,73,13.14,100,11.30,157,16.17,137,5.07,13,0
272,62.83,276,49.68,117,13.22,176,18.13,35,1.30,30,0
93,21.48,249,44.82,56,6.33,185,19.06,135,5.00,33,0
120,27.72,13,2.34,16,1.81,185,19.06,205,7.59,17,0
184,42.50,212,38.16,227,25.65,46,4.74,25,0.93,5,0
46,10.63,13,2.34,12,1.36,167,17.20,47,1.74,46,0
111,25.64,232,41.76,159,17.97,77,7.93,49,1.81,14,0
40,9.24,204,36.72,136,15.37,268,27.60,55,2.04,49,0
2,0.46,279,50.22,211,23.84,168,17.30,247,9.14,33,0
14,3.23,127,22.86,261,29.49,127,13.08,65,2.41,3,0
115,26.57,49,8.82,241,27.23,218,22.45,209,7.73,44,0
17,3.93,288,51.84,83,9.38,90,9.27,211,7.81,11,0
79,18.25,153,27.54,243,27.46,178,18.33,123,4.55,41,0
42,9.70,5,0.9,189,21.36,256,26.37,115,4.26,38,0
245,56.60,8,1.44,230,25.99,107,11.02,155,5.74,33,0
241,55.67,222,39.96,102,11.53,3,0.31,3,0.11,14,0
271,62.60,99,17.82,52,5.88,98,10.09,143,5.29,29,0
63,14.55,182,32.76,268,30.28,7,0.72,121,4.48,16,0
272,62.83,122,21.96,246,27.80,170,17.51,117,4.33,35,0
15,3.47,281,50.58,82,9.27,261,26.88,233,8.62,32,0
105,24.26,76,13.68,152,17.18,118,12.15,213,7.88,24,0
200,46.20,165,29.7,16,1.81,120,12.36,123,4.55,11,0
234,54.05,255,45.9,270,30.51,163,16.79,47,1.74,24,0
154,35.57,107,19.26,214,24.18,164,16.89,241,8.92,10,0
16,3.70,121,21.78,118,13.33,113,11.64,35,1.30,3,0
102,23.56,252,45.36,289,32.66,136,14.01,169,6.25,36,0
66,15.25,52,9.36,182,20.57,217,22.35,19,0.70,41,0
100,23.10,116,20.88,91,10.28,81,8.34,215,7.96,23,0
269,62.14,108,19.44,105,11.87,55,5.67,169,6.25,27,0
260,60.06,218,39.24,244,27.57,173,17.82,201,7.44,10,0
82,18.94,122,21.96,267,30.17,159,16.38,47,1.74,39,0
153,35.34,270,48.6,108,12.20,134,13.80,197,7.29,38,0
291,67.22,185,33.3,107,12.09,290,29.87,231,8.55,36,0
255,58.91,201,36.18,217,24.52,164,16.89,159,5.88,4,0
71,16.40,92,16.56,129,14.58,56,5.77,35,1.30,48,0
48,11.09,156,28.08,19,2.15,41,4.22,63,2.33,19,0
231,53.36,237,42.66,56,6.33,86,8.86,21,0.78,43,0
231,53.36,263,47.34,139,15.71,117,12.05,285,10.55,33,0
299,69.07,224,40.32,257,29.04,111,11.43,105,3.89,39,0
218,50.36,288,51.84,97,10.96,52,5.36,79,2.92,11,0
290,66.99,21,3.78,213,24.07,134,13.80,285,10.55,5,0
250,57.75,157,28.26,25,2.83,284,29.25,79,2.92,16,0
9,2.08,166,29.88,163,18.42,173,17.82,229,8.47,29,0
292,67.45,108,19.44,254,28.70,234,24.10,211,7.81,23,0
176,40.66,60,10.8,238,26.89,281,28.94,135,5.00,47,0
17,3.93,151,27.18,142,16.05,98,10.09,299,11.06,4,0
138,31.88,33,5.94,190,21.47,278,28.63,281,10.40,21,0
32,7.39,96,17.28,167,18.87,203,20.91,145,5.37,8,0
111,25.64,41,7.38,6,0.68,14,1.44,299,11.06,5,0
137,31.65,216,38.88,119,13.45,18,1.85,45,1.67,4,0
224,51.74,37,6.66,73,8.25,299,30.80,255,9.44,27,0
107,24.72,263,47.34,27,3.05,296,30.49,75,2.78,25,0
191,44.12,51,9.18,256,28.93,135,13.91,25,0.93,49,0
170,39.27,31,5.58,80,9.04,33,3.40,257,9.51,5,0
171,39.50,151,27.18,177,20.00,279,28.74,81,3.00,32,0
90,20.79,248,44.64,55,6.22,235,24.21,157,5.81,27,0
202,46.66,286,51.48,36,4.07,150,15.45,157,5.81,4,0
138,31.88,234,42.12,209,23.62,213,21.94,129,4.77,40,0
106,24.49,61,10.98,260,29.38,244,25.13,131,4.85,20,0
118,27.26,170,30.6,160,18.08,211,21.73,145,5.37,7,0
8,1.85,91,16.38,8,0.90,163,16.79,213,7.88,35,0
28,6.47,170,30.6,268,30.28,230,23.69,75,2.78,48,0
217,50.13,67,12.06,97,10.96,201,20.70,57,2.11,5,0
160,36.96,33,5.94,52,5.88,248,25.54,153,5.66,15,0
181,41.81,52,9.36,272,30.74,110,11.33,95,3.52,18,0
298,68.84,104,18.72,12,1.36,175,18.03,157,5.81,30,0
280,64.68,214,38.52,263,29.72,20,2.06,33,1.22,15,0
262,60.52,29,5.22,137,15.48,29,2.99,293,10.84,11,0
205,47.36,104,18.72,30,3.39,50,5.15,179,6.62,12,0
112,25.87,294,52.92,51,5.76,240,24.72,233,8.62,5,0
249,57.52,70,12.6,3,0.34,161,16.58,199,7.36,28,0
261,60.29,97,17.46,167,18.87,147,15.14,85,3.15,19,0
72,16.63,240,43.2,47,5.31,32,3.30,13,0.48,34,0
69,15.94,56,10.08,126,14.24,244,25.13,231,8.55,33,0
177,40.89,252,45.36,143,16.16,86,8.86,113,4.18,2,0
59,13.63,238,42.84,206,23.28,165,17.00,175,6.48,21,0
291,67.22,207,37.26,143,16.16,188,19.36,237,8.77,40,0
84,19.40,14,2.52,76,8.59,94,9.68,215,7.96,48,0
251,57.98,165,29.7,135,15.26,279,28.74,167,6.18,12,0
72,16.63,123,22.14,137,15.48,63,6.49,225,8.33,14,0
190,43.89,300,54,88,9.94,50,5.15,189,6.99,14,0
149,34.42,32,5.76,255,28.82,80,8.24,253,9.36,8,0
21,4.85,50,9,129,14.58,265,27.30,199,7.36,1,0
278,64.22,26,4.68,95,10.74,158,16.27,187,6.92,33,0
289,66.76,253,45.54,137,15.48,242,24.93,245,9.07,36,0
173,39.96,136,24.48,293,33.11,126,12.98,191,7.07,47,0
197,45.51,42,7.56,37,4.18,64,6.59,255,9.44,36,0
258,59.60,173,31.14,173,19.55,162,16.69,51,1.89,29,0
175,40.43,62,11.16,46,5.20,205,21.12,63,2.33,40,0
245,56.60,218,39.24,161,18.19,113,11.64,267,9.88,44,0
223,51.51,136,24.48,293,33.11,136,14.01,229,8.47,45,0
91,21.02,76,13.68,121,13.67,136,14.01,285,10.55,22,0
216,49.90,230,41.4,28,3.16,227,23.38,133,4.92,45,0
254,58.67,270,48.6,117,13.22,85,8.76,49,1.81,46,0
170,39.27,272,48.96,239,27.01,235,24.21,169,6.25,22,0
284,65.60,279,50.22,281,31.75,112,11.54,31,1.15,8,0
158,36.50,290,52.2,41,4.63,162,16.69,275,10.18,25,0
41,9.47,131,23.58,84,9.49,177,18.23,43,1.59,43,0
163,37.65,108,19.44,30,3.39,192,19.78,227,8.40,41,0
70,16.17,5,0.9,4,0.45,297,30.59,85,3.15,12,0
20,4.62,55,9.9,170,19.21,9,0.93,121,4.48,12,0
112,25.87,186,33.48,110,12.43,163,16.79,181,6.70,37,0
144,33.26,229,41.22,154,17.40,122,12.57,55,2.04,27,0
274,63.29,152,27.36,280,31.64,289,29.77,297,10.99,39,0
205,47.36,84,15.12,122,13.79,270,27.81,7,0.26,50,0
202,46.66,12,2.16,148,16.72,237,24.41,143,5.29,8,0
288,66.53,195,35.1,141,15.93,105,10.82,193,7.14,22,0
143,33.03,251,45.18,123,13.90,107,11.02,101,3.74,40,0
215,49.67,54,9.72,110,12.43,136,14.01,31,1.15,14,0
30,6.93,174,31.32,59,6.67,35,3.61,89,3.29,37,0
209,48.28,287,51.66,285,32.21,115,11.85,147,5.44,47,0
106,24.49,29,5.22,37,4.18,300,30.90,167,6.18,22,0
268,61.91,125,22.5,266,30.06,138,14.21,43,1.59,39,0
16,3.70,256,46.08,144,16.27,70,7.21,99,3.66,4,0
76,17.56,212,38.16,246,27.80,159,16.38,113,4.18,21,0
42,9.70,297,53.46,85,9.61,181,18.64,179,6.62,25,0
228,52.67,238,42.84,215,24.30,79,8.14,243,8.99,5,0
293,67.68,216,38.88,158,17.85,154,15.86,235,8.70,16,0
291,67.22,4,0.72,157,17.74,72,7.42,281,10.40,32,0
169,39.04,199,35.82,63,7.12,108,11.12,151,5.59,37,0
251,57.98,130,23.4,93,10.51,298,30.69,135,5.00,17,0
74,17.09,82,14.76,267,30.17,261,26.88,237,8.77,43,0
127,29.34,115,20.7,193,21.81,232,23.90,291,10.77,43,0
199,45.97,232,41.76,71,8.02,286,29.46,259,9.58,29,0
250,57.75,110,19.8,300,33.90,228,23.48,235,8.70,18,0
81,18.71,278,50.04,34,3.84,47,4.84,95,3.52,40,0
11,2.54,22,3.96,218,24.63,284,29.25,3,0.11,38,0
116,26.80,61,10.98,45,5.09,48,4.94,55,2.04,42,0
165,38.12,280,50.4,164,18.53,297,30.59,79,2.92,23,0
151,34.88,27,4.86,139,15.71,36,3.71,253,9.36,19,0
189,43.66,154,27.72,119,13.45,137,14.11,237,8.77,43,0
256,59.14,108,19.44,5,0.57,193,19.88,247,9.14,37,0
154,35.57,253,45.54,63,7.12,282,29.05,99,3.66,43,0
214,49.43,172,30.96,46,5.20,134,13.80,55,2.04,7,0
284,65.60,139,25.02,162,18.31,266,27.40,85,3.15,41,0
191,44.12,106,19.08,128,14.46,80,8.24,75,2.78,7,0
122,28.18,216,38.88,281,31.75,135,13.91,107,3.96,39,0
207,47.82,19,3.42,142,16.05,126,12.98,25,0.93,21,0
26,6.01,180,32.4,187,21.13,54,5.56,105,3.89,18,0
225,51.98,72,12.96,49,5.54,259,26.68,81,3.00,15,0
227,52.44,97,17.46,179,20.23,231,23.79,261,9.66,7,0
154,35.57,247,44.46,78,8.81,135,13.91,273,10.10,30,0
252,58.21,212,38.16,288,32.54,30,3.09,21,0.78,6,0
120,27.72,41,7.38,244,27.57,131,13.49,127,4.70,31,0
1,0.23,127,22.86,125,14.13,29,2.99,243,8.99,16,0
247,57.06,160,28.8,157,17.74,43,4.43,119,4.40,44,0
203,46.89,153,27.54,210,23.73,216,22.25,19,0.70,41,0
88,20.33,66,11.88,15,1.70,228,23.48,255,9.44,2,0
120,27.72,163,29.34,16,1.81,300,30.90,91,3.37,50,0
177,40.89,16,2.88,90,10.17,151,15.55,109,4.03,5,0
295,68.15,128,23.04,279,31.53,148,15.24,233,8.62,25,0
272,62.83,174,31.32,73,8.25,197,20.29,279,10.32,14,0
185,42.74,83,14.94,175,19.78,183,18.85,107,3.96,11,0
198,45.74,30,5.4,173,19.55,217,22.35,103,3.81,19,0
212,48.97,72,12.96,27,3.05,233,24.00,271,10.03,18,0
42,9.70,117,21.06,153,17.29,163,16.79,91,3.37,25,0
16,3.70,21,3.78,288,32.54,221,22.76,125,4.63,43,0
186,42.97,20,3.6,195,22.04,38,3.91,65,2.41,37,0
68,15.71,229,41.22,69,7.80,13,1.34,173,6.40,25,0
263,60.75,47,8.46,170,19.21,128,13.18,57,2.11,19,0
48,11.09,161,28.98,18,2.03,191,19.67,155,5.74,17,0
198,45.74,173,31.14,111,12.54,16,1.65,109,4.03,36,0
195,45.05,299,53.82,102,11.53,49,5.05,271,10.03,25,0
16,3.70,178,32.04,158,17.85,64,6.59,195,7.22,6,0
276,63.76,124,22.32,143,16.16,53,5.46,23,0.85,19,0
218,50.36,298,53.64,184,20.79,293,30.18,113,4.18,11,0
68,15.71,86,15.48,43,4.86,64,6.59,245,9.07,4,0
135,31.19,80,14.4,102,11.53,13,1.34,259,9.58,16,0
250,57.75,101,18.18,230,25.99,195,20.09,277,10.25,38,0
196,45.28,254,45.72,180,20.34,146,15.04,275,10.18,42,0
223,51.51,57,10.26,49,5.54,100,10.30,237,8.77,25,0
218,50.36,85,15.3,204,23.05,132,13.60,245,9.07,32,0
108,24.95,100,18,149,16.84,51,5.25,119,4.40,38,0
260,60.06,295,53.1,12,1.36,244,25.13,95,3.52,34,0
10,2.31,158,28.44,279,31.53,16,1.65,99,3.66,49,0
37,8.55,61,10.98,276,31.19,27,2.78,85,3.15,19,0
251,57.98,267,48.06,288,32.54,293,30.18,187,6.92,11,0
13,3.00,87,15.66,160,18.08,15,1.55,81,3.00,6,0
237,54.75,46,8.28,116,13.11,80,8.24,137,5.07,8,0
295,68.15,232,41.76,89,10.06,172,17.72,185,6.85,33,0
64,14.78,2,0.36,242,27.35,166,17.10,53,1.96,37,0
83,19.17,40,7.2,123,13.90,198,20.39,123,4.55,18,0
279,64.45,182,32.76,128,14.46,238,24.51,201,7.44,39,0
91,21.02,92,16.56,144,16.27,214,22.04,287,10.62,28,0
272,62.83,99,17.82,53,5.99,142,14.63,111,4.11,48,0
119,27.49,254,45.72,282,31.87,201,20.70,147,5.44,33,0
171,39.50,172,30.96,171,19.32,58,5.97,255,9.44,22,0
208,48.05,87,15.66,163,18.42,265,27.30,17,0.63,17,0
70,16.17,276,49.68,43,4.86,132,13.60,107,3.96,3,0
169,39.04,84,15.12,266,30.06,185,19.06,207,7.66,7,0
188,43.43,176,31.68,86,9.72,242,24.93,221,8.18,7,0
132,30.49,86,15.48,233,26.33,134,13.80,171,6.33,17,0
156,36.04,198,35.64,120,13.56,229,23.59,37,1.37,38,0
215,49.67,298,53.64,141,15.93,154,15.86,265,9.81,15,0
193,44.58,1,0.18,178,20.11,206,21.22,145,5.37,6,0
260,60.06,106,19.08,262,29.61,128,13.18,121,4.48,17,0
41,9.47,170,30.6,43,4.86,258,26.57,43,1.59,48,0
68,15.71,156,28.08,40,4.52,16,1.65,207,7.66,38,0
51,11.78,154,27.72,216,24.41,83,8.55,155,5.74,23,0
239,55.21,267,48.06,221,24.97,164,16.89,221,8.18,6,0
300,69.30,167,30.06,31,3.50,291,29.97,49,1.81,50,0
235,54.29,40,7.2,275,31.08,230,23.69,279,10.32,48,0
157,36.27,291,52.38,166,18.76,299,30.80,267,9.88,29,0
217,50.13,110,19.8,179,20.23,64,6.59,167,6.18,45,0
34,7.85,98,17.64,131,14.80,133,13.70,37,1.37,50,0
232,53.59,196,35.28,272,30.74,39,4.02,55,2.04,17,0
55,12.71,86,15.48,216,24.41,11,1.13,233,8.62,21,0
90,20.79,120,21.6,59,6.67,56,5.77,143,5.29,32,0
273,63.06,298,53.64,9,1.02,100,10.30,223,8.25,41,0
93,21.48,50,9,281,31.75,131,13.49,127,4.70,11,0
137,31.65,147,26.46,198,22.37,238,24.51,117,4.33,23,0
224,51.74,129,23.22,134,15.14,162,16.69,171,6.33,17,0
236,54.52,52,9.36,114,12.88,25,2.58,183,6.77,16,0
195,45.05,273,49.14,200,22.60,249,25.65,31,1.15,28,0
90,20.79,249,44.82,45,5.09,76,7.83,295,10.92,42,0
46,10.63,192,34.56,121,13.67,292,30.08,291,10.77,29,0
133,30.72,288,51.84,238,26.89,61,6.28,11,0.41,1,0
261,60.29,85,15.3,63,7.12,1,0.10,145,5.37,25,0
87,20.10,7,1.26,29,3.28,181,18.64,55,2.04,28,0
7,1.62,240,43.2,132,14.92,193,19.88,93,3.44,21,0
296,68.38,6,1.08,39,4.41,221,22.76,261,9.66,4,0
210,48.51,181,32.58,232,26.22,3,0.31,273,10.10,28,0
273,63.06,57,10.26,43,4.86,15,1.55,231,8.55,44,0
296,68.38,147,26.46,21,2.37,175,18.03,99,3.66,7,0
215,49.67,221,39.78,204,23.05,78,8.03,263,9.73,11,0
233,53.82,68,12.24,28,3.16,7,0.72,125,4.63,7,0
53,12.24,66,11.88,294,33.22,186,19.16,209,7.73,13,0
96,22.18,144,25.92,126,14.24,19,1.96,235,8.70,32,0
259,59.83,252,45.36,23,2.60,242,24.93,25,0.93,26,0
259,59.83,195,35.1,1,0.11,38,3.91,27,1.00,12,0
175,40.43,152,27.36,217,24.52,63,6.49,219,8.10,33,0
251,57.98,17,3.06,27,3.05,159,16.38,77,2.85,17,0
38,8.78,139,25.02,85,9.61,289,29.77,143,5.29,17,0
122,28.18,168,30.24,75,8.48,291,29.97,261,9.66,10,0
34,7.85,279,50.22,259,29.27,217,22.35,151,5.59,28,0
224,51.74,257,46.26,10,1.13,112,11.54,151,5.59,48,0
37,8.55,285,51.3,267,30.17,223,22.97,57,2.11,18,0
81,18.71,5,0.9,121,13.67,184,18.95,217,8.03,42,0
225,51.98,20,3.6,186,21.02,158,16.27,113,4.18,23,0
72,16.63,1,0.18,72,8.14,96,9.89,271,10.03,22,0
75,17.33,4,0.72,245,27.69,170,17.51,57,2.11,16,0
196,45.28,206,37.08,248,28.02,291,29.97,177,6.55,43,0
153,35.34,107,19.26,134,15.14,239,24.62,121,4.48,19,0
292,67.45,123,22.14,14,1.58,50,5.15,259,9.58,40,0
142,32.80,10,1.8,185,20.91,256,26.37,273,10.10,42,0
12,2.77,173,31.14,237,26.78,40,4.12,63,2.33,48,0
168,38.81,238,42.84,184,20.79,141,14.52,153,5.66,23,0
36,8.32,224,40.32,139,15.71,162,16.69,77,2.85,31,0
266,61.45,118,21.24,57,6.44,71,7.31,3,0.11,42,0
134,30.95,205,36.9,37,4.18,51,5.25,209,7.73,33,0
103,23.79,103,18.54,135,15.26,230,23.69,121,4.48,27,0
82,18.94,258,46.44,84,9.49,128,13.18,161,5.96,19,0
159,36.73,230,41.4,182,20.57,128,13.18,191,7.07,7,0
109,25.18,289,52.02,109,12.32,44,4.53,179,6.62,47,0
299,69.07,275,49.5,285,32.21,61,6.28,115,4.26,33,0
119,27.49,131,23.58,159,17.97,191,19.67,263,9.73,30,0
75,17.33,41,7.38,83,9.38,19,1.96,77,2.85,22,0
184,42.50,46,8.28,257,29.04,274,28.22,137,5.07,1,0
169,39.04,42,7.56,230,25.99,277,28.53,215,7.96,42,0
282,65.14,90,16.2,167,18.87,212,21.84,83,3.07,23,0
240,55.44,61,10.98,76,8.59,200,20.60,295,10.92,41,0
214,49.43,105,18.9,70,7.91,144,14.83,15,0.56,41,0
178,41.12,211,37.98,189,21.36,57,5.87,95,3.52,4,0
118,27.26,292,52.56,60,6.78,118,12.15,271,10.03,13,0
127,29.34,149,26.82,281,31.75,15,1.55,249,9.21,11,0
139,32.11,210,37.8,137,15.48,296,30.49,231,8.55,40,0
242,55.90,47,8.46,118,13.33,119,12.26,13,0.48,5,0
249,57.52,59,10.62,118,13.33,219,22.56,191,7.07,14,0
146,33.73,68,12.24,226,25.54,9,0.93,55,2.04,19,0
73,16.86,76,13.68,268,30.28,274,28.22,163,6.03,10,0
126,29.11,140,25.2,188,21.24,252,25.96,233,8.62,37,0
150,34.65,145,26.1,61,6.89,117,12.05,147,5.44,16,0
156,36.04,99,17.82,197,22.26,101,10.40,241,8.92,45,0
250,57.75,211,37.98,6,0.68,168,17.30,297,10.99,41,0
177,40.89,167,30.06,229,25.88,277,28.53,207,7.66,46,0
11,2.54,86,15.48,119,13.45,105,10.82,165,6.11,13,0
55,12.71,217,39.06,131,14.80,297,30.59,187,6.92,13,0
220,50.82,249,44.82,258,29.15,275,28.33,223,8.25,10,0
44,10.16,69,12.42,93,10.51,292,30.08,295,10.92,42,0
213,49.20,297,53.46,179,20.23,288,29.66,63,2.33,15,0
76,17.56,6,1.08,289,32.66,70,7.21,89,3.29,15,0
171,39.50,145,26.1,236,26.67,184,18.95,223,8.25,21,0
159,36.73,205,36.9,129,14.58,79,8.14,85,3.15,27,0
1,0.23,224,40.32,171,19.32,283,29.15,205,7.59,28,0
232,53.59,99,17.82,100,11.30,90,9.27,53,1.96,36,0
194,44.81,65,11.7,16,1.81,22,2.27,157,5.81,3,0
96,22.18,227,40.86,206,23.28,20,2.06,167,6.18,17,0
273,63.06,62,11.16,111,12.54,126,12.98,23,0.85,36,0
239,55.21,244,43.92,278,31.41,265,27.30,3,0.11,4,0
189,43.66,33,5.94,104,11.75,297,30.59,263,9.73,46,0
87,20.10,201,36.18,76,8.59,248,25.54,81,3.00,25,0
164,37.88,51,9.18,290,32.77,215,22.15,37,1.37,35,0
22,5.08,249,44.82,5,0.57,87,8.96,57,2.11,36,0
40,9.24,273,49.14,195,22.04,244,25.13,255,9.44,35,0
74,17.09,256,46.08,48,5.42,160,16.48,255,9.44,25,0
28,6.47,204,36.72,107,12.09,176,18.13,37,1.37,8,0
44,10.16,120,21.6,116,13.11,166,17.10,205,7.59,27,0
75,17.33,99,17.82,275,31.08,105,10.82,195,7.22,50,0
79,18.25,223,40.14,167,18.87,145,14.94,89,3.29,14,0
181,41.81,73,13.14,135,15.26,151,15.55,213,7.88,50,0
3,0.69,196,35.28,280,31.64,226,23.28,65,2.41,14,0
20,4.62,69,12.42,136,15.37,145,14.94,237,8.77,11,0
9,2.08,49,8.82,293,33.11,155,15.97,253,9.36,24,0
269,62.14,226,40.68,233,26.33,249,25.65,259,9.58,27,0
121,27.95,206,37.08,231,26.10,269,27.71,129,4.77,47,0
279,64.45,137,24.66,105,11.87,191,19.67,275,10.18,44,0
64,14.78,19,3.42,267,30.17,159,16.38,65,2.41,24,0
208,48.05,44,7.92,132,14.92,295,30.39,35,1.30,10,0
122,28.18,292,52.56,221,24.97,141,14.52,267,9.88,16,0
131,30.26,104,18.72,8,0.90,280,28.84,265,9.81,18,0
204,47.12,237,42.66,165,18.65,284,29.25,275,10.18,39,0
15,3.47,300,54,12,1.36,72,7.42,267,9.88,40,0
186,42.97,298,53.64,180,20.34,223,22.97,247,9.14,12,0
45,10.40,53,9.54,234,26.44,265,27.30,235,8.70,18,0
111,25.64,35,6.3,101,11.41,93,9.58,119,4.40,26,0
115,26.57,15,2.7,276,31.19,131,13.49,169,6.25,32,0
197,45.51,115,20.7,97,10.96,134,13.80,155,5.74,41,0
208,48.05,140,25.2,40,4.52,18,1.85,83,3.07,18,0
119,27.49,158,28.44,89,10.06,248,25.54,217,8.03,11,0
218,50.36,48,8.64,168,18.98,179,18.44,169,6.25,39,0
56,12.94,54,9.72,25,2.83,52,5.36,289,10.69,33,0
10,2.31,176,31.68,13,1.47,133,13.70,15,0.56,28,0
219,50.59,290,52.2,169,19.10,1,0.10,129,4.77,12,0
75,17.33,78,14.04,37,4.18,146,15.04,163,6.03,8,0
257,59.37,49,8.82,179,20.23,103,10.61,89,3.29,46,0
259,59.83,23,4.14,66,7.46,13,1.34,41,1.52,28,0
110,25.41,160,28.8,221,24.97,3,0.31,13,0.48,41,0
250,57.75,217,39.06,221,24.97,72,7.42,153,5.66,13,0
274,63.29,130,23.4,105,11.87,289,29.77,27,1.00,4,0
131,30.26,282,50.76,79,8.93,288,29.66,137,5.07,27,0
157,36.27,281,50.58,296,33.45,150,15.45,155,5.74,23,0
42,9.70,263,47.34,194,21.92,115,11.85,77,2.85,5,0
49,11.32,172,30.96,51,5.76,233,24.00,63,2.33,46,0
161,37.19,124,22.32,6,0.68,66,6.80,137,5.07,43,0
215,49.67,216,38.88,279,31.53,284,29.25,117,4.33,26,0
219,50.59,198,35.64,122,13.79,17,1.75,91,3.37,47,0
60,13.86,211,37.98,73,8.25,209,21.53,121,4.48,32,0
46,10.63,279,50.22,69,7.80,207,21.32,137,5.07,9,0
30,6.93,147,26.46,241,27.23,138,14.21,47,1.74,7,0
220,50.82,1,0.18,262,29.61,247,25.44,117,4.33,19,0
